what,kind,bundleId,bundleVersion,description,time
started,bundle,org.tigris.subversion.subclipse.core,1.4.8,"org.tigris.subversion.subclipse.core",1286471070924
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1286471070924
started,bundle,org.tigris.subversion.subclipse.ui,1.4.8,"org.tigris.subversion.subclipse.ui",1286471070924
os,sysinfo,,,"win32",1286471070924
arch,sysinfo,,,"x86",1286471070924
ws,sysinfo,,,"win32",1286471070924
locale,sysinfo,,,"pt_BR",1286471070924
processors,sysinfo,,,"2",1286471070924
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1286471070924
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1286471070924
java.specification.name,sysinfo,,,"Java Platform API Specification",1286471070924
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1286471070924
java.specification.version,sysinfo,,,"1.6",1286471070924
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1286471070924
java.version,sysinfo,,,"1.6.0_21",1286471070924
java.vm.info,sysinfo,,,"mixed mode, sharing",1286471070924
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1286471070924
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1286471070924
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1286471070924
java.vm.specification.version,sysinfo,,,"1.0",1286471070924
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1286471070924
java.vm.version,sysinfo,,,"17.0-b17",1286471070924
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286471086040
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286471086087
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286471086087
